business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,rating,American,Mexican,Chinese,Italian,Coffee&Tea,Sandwiches,Pizza
279,Inga Donuts,1026 Hyde St,San Francisco,CA,94109,37.790347,-122.417227,"(37.790347, -122.417227)",,279_20160518,05/18/2016 12:00:00 AM,98,Routine - Unscheduled,279_20160518_103161,Low risk vermin infestation,Low Risk,2.5,0,0,1,0,0,0,0
80592,Chapel Hill Coffee LLC,670 B Commercial St,San Francisco,CA,94111,,,,14155948119,80592_20150318,03/18/2015 12:00:00 AM,100,Routine - Unscheduled,,,,2.5,0,0,0,0,0,0,0
80591,L & G Vietnamese Sandwich,602 Eddy St,San Francisco,CA,94109,,,,14155886402,80591_20160129,01/29/2016 12:00:00 AM,57,Routine - Unscheduled,80591_20160129_103105,Improper cooling methods,High Risk,4.5,0,0,0,0,0,1,0
81671,Bon Appetit Management Co,685 Market St 10th flr,San Francisco,CA,94105,,,,14155612862,81671_20160810,08/10/2016 12:00:00 AM,100,Routine - Unscheduled,,,,1.5,0,0,0,0,0,0,0
81756,Birba,458 Grove St,San Francisco,CA,94102,,,,,81756_20160510,05/10/2016 12:00:00 AM,90,Routine - Unscheduled,81756_20160510_103131,Moderate risk vermin infestation,Moderate Risk,4.5,1,0,0,1,0,0,0
81757,Bottle Zup,865 Market St #9003,San Francisco,CA,94103,,,,,81757_20160404,04/04/2016 12:00:00 AM,88,Routine - Unscheduled,81757_20160404_103156,Permit license or inspection report not posted,Low Risk,4,0,0,0,0,1,0,0
69172,Victoria Pastry Co.,700 Filbert St,San Francisco,CA,94133,37.8012,-122.411191,"(37.8012, -122.411191)",14155981655,69172_20160524,05/24/2016 12:00:00 AM,92,Routine - Unscheduled,69172_20160524_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,4,0,0,0,0,0,0,0
64454,Sushirrito,59 New Montgomery St,San Francisco,CA,94105,37.787925,-122.400953,"(37.787925, -122.400953)",,64454_20161214,12/14/2016 12:00:00 AM,94,Routine - Unscheduled,64454_20161214_103120,Moderate risk food holding temperature,Moderate Risk,4,0,0,0,0,0,0,0
69175,Mau Restaurant,665 Valencia St,San Francisco,CA,94110,37.762381,-122.42156,"(37.762381, -122.42156)",14155307517,69175_20160601,06/01/2016 12:00:00 AM,84,Routine - Unscheduled,69175_20160601_103132,Improper thawing methods,Moderate Risk,3.5,0,0,0,0,0,0,0
26025,Eureka Restaurant & Lounge,4063 18th St,San Francisco,CA,94114,37.760881,-122.434171,"(37.760881, -122.434171)",,26025_20151218,12/18/2015 12:00:00 AM,94,Routine - Unscheduled,26025_20151218_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,4,1,0,0,0,0,0,0
81758,Super Save Supermarket,4517 03rd St,San Francisco,CA,94124,,,,,81758_20160404,04/04/2016 12:00:00 AM,88,Routine - Unscheduled,81758_20160404_103161,Low risk vermin infestation,Low Risk,4,0,0,0,0,0,0,0
81759,Sally's Restaurant and Deli,300 De Haro St #332,San Francisco,CA,94103,,,,,81759_20161006,10/06/2016 12:00:00 AM,71,Routine - Unscheduled,81759_20161006_103120,Moderate risk food holding temperature,Moderate Risk,3.5,0,0,0,0,0,0,0
37792,Auntie Anne's Pretzels,845 Market St Space 201,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",14155371098,37792_20160705,07/05/2016 12:00:00 AM,96,Routine - Unscheduled,37792_20160705_103142,Unclean nonfood contact surfaces,Low Risk,3.5,0,0,0,0,0,0,0
